PARID,owner
0023R00157000000,city
0045A00180000000,city
0075C00167000000,city
0026M00013000000,city
0046E00006000000,city
0009M00121000000,city
0022D00351000000,city
0046N00165000000,city
0045S00291000000,city
0045S00308000000,city
0045S00312000000,city
0045S00315000000,city
0023G00285000000,city
0045S00293000000,city
0050F00213000000,city
0087K00056000001,city
0061D00084000000,city
0061D00125000000,city
0061C00125000000,city
0061C00001000000,city
0061C00002000000,city
0034P00001000000,city
0184G00249000000,city
0128N00095000000,city
0128N00021000000,city
0128N00101000000,city
0012P00154000000,city
0006A00276000000,city
0033A00215000000,city
0018C00174000000,city
0005F00072000000,city
0022B00020000000,city
0040B00172000000,city
0004N00157000000,city
0006A00344000000,city
0006A00345000000,city
0004N00163000000,city
0162S00090000000,city
0162S00092000000,city
0162S00094000000,city
0162S00075000000,city
0162S00079000000,city
0162S00080000000,city
0162S00081000000,city
0162S00084000000,city
0162S00086000000,city
0162S00088000000,city
0162S00164000000,city
0162S00166000000,city
0015A00037000000,city
0162S00165000000,city
0162S00163000000,city
0018C00152000000,city
0009M00112000000,city
0009M00114000000,city
0009M00122000000,city
0009M00123000000,city
0125S00125000000,city
0052D00346000000,city
0001P00044000000,city
0392S00225000000,highmark
0051H00322000000,city
0054J00187000000,city
0091G00025000000,city
0091G00230000000,city
0080C00350000000,highmark
0028F00172000000,upitt
0027M00222000000,cmu
0027M00226000000,cmu
0027M00242000000,cmu
0027S00003000001,cmu
0052J00292000000,cmu
0052J00294000000,cmu
0052J00296000000,cmu
0052J00299000000,cmu
0052J00305000000,cmu
0052J00307000000,cmu
0052J00310000000,cmu
0052J00316000000,cmu
0052J00317000000,cmu
0052J00320000000,cmu
0052J00325000000,cmu
0052J00500000000,cmu
0052N00008000000,cmu
0052J00170000000,cmu
0052J00172000000,cmu
0052J00173000000,cmu
0052J00177000000,cmu
0052J00181000000,cmu
0052J00183000000,cmu
0052J00185000000,cmu
0052J00191000000,cmu
0052J00198000000,cmu
0052J00200000000,cmu
0052N00059000000,cmu
0052N00249000000,cmu
0052N00249000001,cmu
0052N00265000000,cmu
0052N00267000000,cmu
0052N00270000000,cmu
0026M00025000000,cmu
0026L00027000000,cmu
0052J00050000000,cmu
0052J00060000000,cmu
0052J00069000000,cmu
0052J00074000000,cmu
0052E00239000000,cmu
0052E00243000000,cmu
0080N00006000000,cmu
0080N00008000000,cmu
0080N00010000000,cmu
0125J00045000000,cmu
0125J00050000000,cmu
0052J00114000000,cmu
0052J00116000000,cmu
0053C00089000000,cmu
0053C00091000000,cmu
0053C00093000000,cmu
0053C00096000000,cmu
0053C00097000000,cmu
0053C00109000000,cmu
0053C00110000000,cmu
0053C00114000000,cmu
0053C00117000000,cmu
0053C00121000000,cmu
0052N00184000000,cmu
0052P00060000000,cmu
0052P00066000000,cmu
0052P00072000000,cmu
0052P00076000000,cmu
0052P00130000000,cmu
0052K00222000000,cmu
0052K00227000000,cmu
0052K00240000000,cmu
0053C00150000000,cmu
0053C00166000000,cmu
0052R00003000000,cmu
0052R00060000000,cmu
0052R00061000000,cmu
0053B00050000000,cmu
0053C00004000000,cmu
0053C00006000000,cmu
0053C00012000000,cmu
0053C00014000000,cmu
0053C00016000000,cmu
0052R00134000000,cmu
0052L00120000000,cmu
0053C00085000000,cmu
0053C00088000000,cmu
0052K00115000000,cmu
0052K00140000000,cmu
0052K00150000000,cmu
0052K00164000000,cmu
0052K00182000000,cmu
0052K00185000000,cmu
0052K00188000000,cmu
0052K00191000000,cmu
0052K00199000000,cmu
0052K00205000000,cmu
0052K00211000000,cmu
0052K00215000000,cmu
0052J00295000000,cmu
0052N00180000000,cmu
0052N00269000000,cmu
0052K00104000000,cmu
0052J00306000000,cmu
0052J00322000000,cmu
0052J00175000000,cmu
0052N00176000000,cmu
0052P00160000000,cmu
0053C00002000000,cmu
0052K00219000000,cmu
0052N00240000000,cmu
0052J00196000000,cmu
0052K00175000000,cmu
0053C00037000000,cmu
0027M00104000000,cmu
0027M00207000000,cmu
0027M00232000000,cmu
0053C00087000000,cmu
0028A00250000000,upitt
0028K00124000000,upitt
0028G00307000000,upitt
0028G00308000000,upitt
0027M00165000000,upitt
0027R00027000000,upitt
0027R00059000000,upitt
0027R00190000000,upitt
0027S00125000000,upitt
0027N00025000000,upitt
0027P00080000003,upitt
0027M00014000000,upitt
0027M00045000000,upitt
0027M00053000000,upitt
0028G00273000000,upitt
0028G00276000000,upitt
0028G00221000000,upitt
0028G00280000000,upitt
0028B00072000000,upitt
0028B00078000000,upitt
0028F00154000000,upitt
0028G00286000000,upitt
0028G00288000000,upitt
0028G00298000000,upitt
0028B00142000000,upitt
0028B00166000000,upitt
0028C00292000000,upitt
0028F00168000000,upitt
0028F00197000000,upitt
0028F00200000000,upitt
0028B00266000000,upitt
0028B00266000100,upitt
0028B00295000000,upitt
0028C00010000001,upitt
0028C00010000A01,upitt
0028C00023000000,upitt
0028C00304000000,upitt
0028C00308000000,upitt
0028C00309000000,upitt
0028C00310000000,upitt
0028C00311000000,upitt
0028C00317000000,upitt
0028C00029000000,upitt
0028C00057000000,upitt
0028C00320000000,upitt
0028D00050000000,upitt
0028C00070000000,upitt
0028G00203000000,upitt
0052J00152000000,upitt
0052J00154000000,upitt
0052N00034000000,upitt
0027N00095000002,upitt
0027P00080000001,upitt
0027J00230000000,upitt
0026L00004000000,upitt
0051P00326000000,upitt
0052F00030000000,upitt
0052E00218000000,upitt
0084P00040000000,upitt
0084P00067000000,upitt
0052F00001000000,upitt
0028H00300000001,upitt
1104C00326000000,upitt
0028G00306000000,upitt
0028G00305000000,upitt
0028C00306000000,upitt
0028G00278000000,upitt
0028C00287000000,upitt
0028B00311000000,upitt
0028B00133000000,upitt
0027L00256000000,upitt
0027L00212000000,upitt
0026R00152000100,upitt
0027R00033000000,upitt
0028N00019000002,upitt
0027R00076000000,upitt
0028G00320000000,upitt
0028G00312000000,upitt
0028G00315000000,upitt
0027L00086000001,upitt
0027R00028000000,upitt
0027R00138000000,upitt
0027H00144006200,upitt
0027S00074000000,upitt
0027K00200000000,upitt
0027L00300000000,upitt
0027M00093000000,upitt
0028A00055000000,upitt
0028R00365000000,upitt
0028G00289000000,upitt
0028G00290000000,upitt
0028G00291000000,upitt
0028G00294000000,upitt
0028G00296000000,upitt
0028G00353000000,upitt
0028G00354000000,upitt
0028G00355000000,upitt
0028G00356000000,upitt
0028C00260000000,upitt
0028G00110000400,upitt
0028C00288000000,upitt
0028C00291000000,upitt
0028C00293000000,upitt
0028C00294000000,upitt
0028F00193000000,upitt
0028F00194000000,upitt
0028C00296000000,upitt
0028C00301000000,upitt
0028C00316000000,upitt
0028C00318000000,upitt
0028C00032000000,upitt
0028B00023000A00,upitt
0028C00131000000,upitt
0028A00243000000,upitt
0010M00272000000,upitt
0010M00274000000,upitt
0010M00275000000,upitt
0010M00276000000,upitt
0010M00281000000,upitt
0010M00284000000,upitt
0010M00286000000,upitt
0010S00029000000,upitt
0010S00037000000,upitt
0010M00288000000,upitt
0010M00290000000,upitt
